"Date"	"Hour"	"Original"	"Predicted"	"Relative Error"
"70"	"2014-05-03"	21	78	86	-0.113159240016582
"71"	"2014-05-03"	22	51	50	0.019492972376727
"72"	"2014-05-03"	23	30	33	-0.102359800064107
"73"	"2014-05-04"	0	48	42	0.124759820334107
"74"	"2014-05-04"	1	106	111	-0.0519436378706483
"75"	"2014-05-04"	2	251	207	0.172684667023626
"76"	"2014-05-04"	3	372	362	0.025932567205988
"77"	"2014-05-04"	4	564	556	0.0126367861772221
"78"	"2014-05-04"	5	800	772	0.0343290124549883
"79"	"2014-05-04"	6	985	927	0.0585871392736916
"80"	"2014-05-04"	7	997	953	0.0437849065452569
"81"	"2014-05-04"	8	918	883	0.0379054931488844
"82"	"2014-05-04"	9	849	906	-0.067882308768803
"83"	"2014-05-04"	10	769	843	-0.0965990095344055
"84"	"2014-05-04"	11	851	766	0.0996692676647458
"85"	"2014-05-04"	12	850	726	0.145666039377612
"86"	"2014-05-04"	13	840	781	0.0699891258851884
"87"	"2014-05-04"	14	916	816	0.108445900005589
"88"	"2014-05-04"	15	917	837	0.0866030381168165
"89"	"2014-05-04"	16	862	858	0.00429401714416118
"90"	"2014-05-04"	17	921	792	0.139398388534214
"91"	"2014-05-04"	18	660	700	-0.0611898518173227
"92"	"2014-05-04"	19	408	388	0.0489202540038008
"93"	"2014-05-04"	20	216	222	-0.0283396570432879
"94"	"2014-05-04"	21	114	99	0.123787323095225
"95"	"2014-05-04"	22	49	66	-0.361923469357635
"96"	"2014-05-04"	23	45	33	0.258787327917688
"97"	"2014-05-05"	0	53	58	-0.112311328755805
"98"	"2014-05-05"	1	137	124	0.0940197451612135
"99"	"2014-05-05"	2	254	263	-0.0370541709287075
"100"	"2014-05-05"	3	408	372	0.088110065441183
"101"	"2014-05-05"	4	638	622	0.0241150838283984
"102"	"2014-05-05"	5	792	863	-0.0905261225147388
"103"	"2014-05-05"	6	1101	967	0.121549649031983
"104"	"2014-05-05"	7	973	1046	-0.0751995414177955
"105"	"2014-05-05"	8	964	899	0.066816841926262
"106"	"2014-05-05"	9	1062	959	0.0966902852756152
"107"	"2014-05-05"	10	880	995	-0.130712803884429
"108"	"2014-05-05"	11	1009	890	0.117565087224638
"109"	"2014-05-05"	12	794	839	-0.0575692759386837
"110"	"2014-05-05"	13	868	767	0.115277534037933
"111"	"2014-05-05"	14	837	870	-0.0404594666159264
"112"	"2014-05-05"	15	966	827	0.14324075528048
"113"	"2014-05-05"	16	1017	926	0.0886080702293325
"114"	"2014-05-05"	17	1041	942	0.0947994696314745
"115"	"2014-05-05"	18	766	771	-0.0072778243957058
"116"	"2014-05-05"	19	405	433	-0.0711399251387864
"117"	"2014-05-05"	20	196	220	-0.123881333837375
"118"	"2014-05-05"	21	97	96	0.00631816206557713
"119"	"2014-05-05"	22	60	58	0.0312039950925438
"120"	"2014-05-05"	23	56	43	0.225208721528544
"121"	"2014-05-06"	0	66	69	-0.0566087215343695
"122"	"2014-05-06"	1	161	148	0.0788245934701647
"123"	"2014-05-06"	2	320	297	0.0711884544587004
"124"	"2014-05-06"	3	451	460	-0.0211246046964735
"125"	"2014-05-06"	4	712	690	0.0299035283289625
"126"	"2014-05-06"	5	940	950	-0.0106468693609837
"127"	"2014-05-06"	6	1048	1143	-0.0909896857376997
"128"	"2014-05-06"	7	1115	1032	0.0739489588327739
"129"	"2014-05-06"	8	1022	1025	-0.00363761086691627
"130"	"2014-05-06"	9	1051	1048	0.00241328700126637
"131"	"2014-05-06"	10	1065	998	0.0627125077123908
"132"	"2014-05-06"	11	1006	1057	-0.0514252724095535
"133"	"2014-05-06"	12	1041	870	0.164177138535943
"134"	"2014-05-06"	13	956	970	-0.0147466593015175
"135"	"2014-05-06"	14	929	949	-0.0216242033235893
"136"	"2014-05-06"	15	996	933	0.0626386590359546
"137"	"2014-05-06"	16	996	974	0.0218495057844418
"138"	"2014-05-06"	17	1033	977	0.0533470784045333
"139"	"2014-05-06"	18	774	783	-0.0118297916181604
"140"	"2014-05-06"	19	484	449	0.0714610069508233
"141"	"2014-05-06"	20	243	253	-0.0442028954781237
"142"	"2014-05-06"	21	108	114	-0.0644623256224411
"143"	"2014-05-06"	22	69	63	0.0729680509441164
"144"	"2014-05-06"	23	46	49	-0.0863164557850535
"145"	"2014-05-07"	0	71	61	0.129215844267795
"146"	"2014-05-07"	1	170	163	0.0363867872942122
"147"	"2014-05-07"	2	263	320	-0.218238992163728
"148"	"2014-05-07"	3	421	402	0.0433238778345849
"149"	"2014-05-07"	4	643	656	-0.0216643968303016
"150"	"2014-05-07"	5	889	911	-0.0249782356963954
"151"	"2014-05-07"	6	1082	1105	-0.0215344760898507
"152"	"2014-05-07"	7	1045	1068	-0.0226557942545424
"153"	"2014-05-07"	8	829	975	-0.176554282004106
"154"	"2014-05-07"	9	1032	900	0.127621082919188
"155"	"2014-05-07"	10	1190	1017	0.145258487975103
"156"	"2014-05-07"	11	1087	1171	-0.0775724493927776
"157"	"2014-05-07"	12	1042	943	0.0943949571888271
"158"	"2014-05-07"	13	917	951	-0.0377939697926305
"159"	"2014-05-07"	14	973	926	0.0480043120808943
"160"	"2014-05-07"	15	928	988	-0.0654770816484018
"161"	"2014-05-07"	16	917	935	-0.0201266178069399
"162"	"2014-05-07"	17	968	928	0.0411596307262271
"163"	"2014-05-07"	18	814	755	0.0722256272425533
"164"	"2014-05-07"	19	397	472	-0.190665456692449
"165"	"2014-05-07"	20	225	216	0.0361748647091009
"166"	"2014-05-07"	21	116	108	0.0688162502181396
"167"	"2014-05-07"	22	47	67	-0.437051745914781
"168"	"2014-05-07"	23	52	37	0.273864105787418
"169"	"2014-05-08"	0	58	67	-0.161523268033427
"170"	"2014-05-08"	1	176	144	0.176741526767078
"171"	"2014-05-08"	2	262	318	-0.216187723096664
"172"	"2014-05-08"	3	443	398	0.100734003591685
"173"	"2014-05-08"	4	680	688	-0.0121071953706123
"174"	"2014-05-08"	5	984	932	0.052079034801595
"175"	"2014-05-08"	6	1152	1193	-0.0364038870996577
"176"	"2014-05-08"	7	1141	1113	0.0236787736949616
"177"	"2014-05-08"	8	950	1024	-0.0780196256048533
"178"	"2014-05-08"	9	1057	1015	0.0388896441710986
"179"	"2014-05-08"	10	1126	1055	0.0622481049021695
"180"	"2014-05-08"	11	925	1101	-0.19127484920009
"181"	"2014-05-08"	12	909	851	0.0627315240414329
"182"	"2014-05-08"	13	965	873	0.0944142094519714
"183"	"2014-05-08"	14	899	976	-0.0864649477702416
"184"	"2014-05-08"	15	836	920	-0.101269003782741
